id,name
125,助于消化
126,助消化
127,助肾阳
128,助阳益精
129,化痰止咳
130,化识解热
131,医治小儿惊厥
132,去寒热
133,去氧化
134,去油腻
135,去油腻，助消化，益思提神，利尿解毒，消除疲惫，解暑
136,去湿
137,去烦热利五脏，治头晕目眩。
138,去皱纹
139,去除油脂
140,双补阴阳
141,可利尿
142,可助消化
143,可杀死细菌
144,可治脏腑枯涩
145,可逆
146,叶
147,和中
148,和中下气
149,和中缓急
150,和胃化痰
151,和胃止痛。
152,和胃行气
153,和血法瘀
154,和血脉
155,咳嗽调理
156,固精健骨
157,填精补髓
158,填精髓
159,填肾精
160,填骨髓。
161,填髓
162,增加了人体所需要的维生素
163,增加皮肤弹性
164,增加胃动力
165,增加饱腹感
166,增强人体免疫力
167,增强人身抗病能力
168,增强体质
169,增强免疫力
170,增强正气
171,增强记忆
172,增智慧。
173,增液润燥
174,增进食欲
175,壮元阳
176,壮腰健肾
177,壮腰健肾调理
178,壮腰膝
179,壮阳散寒
180,大便不利
181,头痛咳嗽
182,头风
183,婚宴使用
184,婚礼习俗使用
185,学生膳食
186,宁心安神
187,安中益气
188,安心神
189,安神
190,安神定志
191,安神定气
192,宣肺止咳
193,对美容
194,对脑损伤
195,对蛋白质进行修饰
196,导滞
197,小儿疳积
198,帮助消化
199,平肝
200,平肝明目
201,平肝止痛
202,平肝阳补气血
203,平肝降压
204,平衡血液酸碱值
205,平补肺肾和止喘嗽
206,延年益寿
207,延缓皮肤衰老
208,延缓衰老和促进儿童生长
209,开窍回苏
210,开胃
211,开胃健脾
212,开胃助食
213,开胃消食调中
214,开胃理气
215,开胃补肾
216,开胃除烦
217,强化儿童发育所需元素
218,强壮益精
219,强筋健步的
220,强筋壮骨。
221,强筋骨
222,强身体
223,强身健体
224,强身健脑
225,强身抗衰
226,影响情绪
227,心烦消渴
228,快速补充能量
229,性味咸温
230,感冒
231,慢性肝炎
232,抑郁症
233,抗忧郁
234,抗早衰
235,抗病毒
236,抗癌
237,抗老化
238,抗老化等都有助益
239,抗菌消炎
240,抗衰老
241,护肤美容
242,抵御寒冷
243,提供糖分
244,提神
245,提神解疲
246,提神醒脑
247,提高人体免疫功能
248,提高人体抗病防病能力
249,收敛止带
250,改善菜肴的味道
251,改善食品的外观
252,敛阴止汗
253,散热排脂
254,散瘀功效
255,散风清热
256,旺血气
257,明目
258,明目止泪
259,明目益气
260,晕
261,暖胃
262,暖胃\补肾
263,暖腰膝
264,最消毒热
265,月经不调及健脾开胃调理
266,有保健功能
267,有益于消化吸收
268,有补虚
269,杀虫止血
270,杀虫的功效
271,梅花粥
272,止咳
273,止咳化痰
274,止咳平喘
275,止咳平喘。适用于咳嗽
276,止咳润肺
277,止汗
278,止消渴
279,止渴
280,止热咳
281,止痛
282,止脱发
283,止血
284,气喘。
285,气管炎
286,气血双补
287,气血生化之源
288,治下痢
289,治下痢腹痛
290,治哮喘
291,治寒湿痹病
292,治疗疟疾病
293,治疗痢疾和肠炎
294,治疗眼疾
295,治疗精神因素引起的焦虑
296,治痔
297,治皮肤疮疖
298,治神经衰弱
299,治肺燥引起的咳嗽
300,治风寒感冒
301,泽肤健美
302,泽肤明目而健美
303,津亏便秘证
304,活血
305,活血散瘀
306,活血散结
307,活血消炎
308,活血消肿
309,海蜇能降血压
310,消暑
311,消渴
312,消炎
313,消热
314,消痈
315,消肿
316,消肿止痛
317,消肿满
318,消肿祛瘀
319,消除疲惫
320,消食
321,消食开胃
322,润心肺
323,润泽颜面
324,润燥
325,润燥养颜
326,润燥止痛解毒美容
327,润燥清肺
328,润燥生津
329,润燥祛痰
330,润痰止咳
331,润肌肤
332,润肠
333,润肠增液
334,润肠通便
335,润肤抗衰
336,润肺
337,润肺养阴
338,润肺止咳
339,润肺清热
340,润肺燥
341,淋沥
342,清凉解热
343,清利湿热。
344,清心健脑功效
345,清心安神
346,清心明目
347,清洁肠胃
348,清润益气
349,清火
350,清热
351,清热健脾利湿
352,清热凉血
353,清热凉血止血
354,清热利尿
355,清热利湿
356,清热利湿，分清泻浊
357,清热化痰
358,清热去火
359,清热去骨火
360,清热止咳
361,清热止渴。
362,清热润燥
363,清热润肺
364,清热滋阴
365,清热生津
366,清热祛火
367,清热解暑
368,清热解毒
369,清热解毒、通经活络、护肤美容
370,清热解毒药
371,清热解表
372,清热降火
373,清理肠胃热湿燥便秘口臭
374,清痰火
375,清肝明目
376,清肝明目和解毒消炎
377,清肠解毒
378,清肺热
379,清胃热
380,温中散寒
381,温中益气
382,温经止痛
383,温肾壮阳
384,温补五脏。适用于阳虚羸瘦
385,温补肾阳
386,湿热
387,滋养发肤
388,滋养强壮
389,滋养肝肾
390,滋养脏腑
391,滋润皮肤
392,滋润祛燥
393,滋润补血
394,滋肝肾
395,滋肾乌发
396,滋肾润肺
397,滋肾益精
398,滋补
399,滋补保健
400,滋补健胃
401,滋补健脑。
402,滋补强壮
403,滋补肝肾
404,滋补肝阴
405,滋补药膳
406,滋阴
407,滋阴健胃
408,滋阴养胃
409,滋阴养血
410,滋阴壮阳
411,滋阴润燥
412,滋阴润燥，养胃理气
413,滋阴润肺
414,滋阴清热
415,滋阴清肺
416,滋阴生津止渴
417,滋阴益气
418,滋阴补肾
419,滋阴补虚
420,滋阴补血。
421,滋阴补阳
422,滋阴降火
423,滑肠
424,滑肠通便
425,烹调
426,熄风
427,燥咳
428,燥湿化痰
429,爽口开胃
430,理气化痰
431,理气止痛
432,理胃消食
433,生津止渴
434,生津润燥
435,生津润肺
436,生血安神
437,用于产后气血两虚
438,用于大肠癌的防治
439,疏肝行气
440,疏肝解郁
441,疏风清热
442,疗饥
443,病后体虚
444,病毒
445,痢疾
446,瘦身
447,瘦身代餐
448,皮肤皲裂
449,益五脏
450,益心肾
451,益思提神
452,益气
453,益气健胃
454,益气健脾
455,益气养血
456,益气和中
457,益气增肥
458,益气止泻
459,益气血
460,益气补精
461,益气补虚
462,益气补血
463,益气解表
464,益气解表，理气化痰
465,益目
466,益精养血
467,益精明目
468,益精气
469,益精生血
470,益精血
471,益精补气
472,益精髓
473,益肝养心气。
474,益肝养精
475,益肺
476,益肺固肾
477,益肺止咳喘
478,益肺气
479,益肾固精
480,益肾填精
481,益阴补血
482,益阴阳
483,破血消积
484,破血祛瘀
485,祛寒止痛
486,祛湿
487,祛风
488,祛风清头目
489,精力充沛提高工作效率
490,纳气定喘
491,纳气平喘
492,组织结构或贮存性质的非营养物质。主要食用功效
493,细菌性感染肝炎
494,缓中
495,缓急止痛
496,缓解饥饿
497,缩泉固精
498,美容
499,美容养颜
500,美容祛斑
501,美白
502,美白，调理肠胃，帮助消化
503,美颜
504,耳鸣等病症的辅助治疗食品
505,肝调养食谱脾调养食谱
506,肺炎高热喘咳
507,肾调养补阳壮腰健肾益智补脑
508,胃肠消化
509,能益气
510,能通达调节脑中神经传达
511,脾胃消化
512,脾胃虚弱
513,腹痛
514,腹胀
515,舒筋活络
516,舒筋的功效
517,舒肝理气
518,色泽
519,芳香调味
520,苏厥回阳
521,茶叶
522,荣脑益智
523,营养不良
524,营养不良调理
525,营养丰富
526,行气
527,行气止痛
528,补中
529,补中益气
530,补中益气滋养脾胃强健筋骨止渴
531,补五脏
532,补元气
533,补充体力
534,补充能量
535,补充营养
536,补充蛋白质
537,补养精血
538,补心安神
539,补心止汗
540,补气
541,补气健脾
542,补气养血
543,补气养阴
544,补气升提
545,补气壮阳
546,补气益肺
547,补气益脾
548,补气血
549,补气血。
550,补气调理
551,补益元气
552,补益气血
553,补益肺气
554,补益肺肾
555,补益脾肾
556,补益脾胃
557,补精
558,补精血
559,补肝
560,补肝明目
561,补肝肾
562,补肺止咳
563,补肺润肺
564,补肺益肤
565,补肺益肾
566,补肾
567,补肾养血
568,补肾助阳
569,补肾填精
570,补肾填髓
571,补肾壮阳
572,补肾强体
573,补肾明目
574,补肾气
575,补肾润肺
576,补肾涩精
577,补肾温肺平喘
578,补肾益智
579,补肾益气
580,补肾益精
581,补肾益肺
582,补肾益血
583,补肾虚
584,补肾阳
585,补脑健脾
586,补脑益智
587,补脾健胃
588,补脾和胃
589,补脾益寿
590,补脾益气
591,补脾益肺
592,补脾益肾
593,补脾益胃
594,补脾肾
595,补虚
596,补虚养身
597,补虚养身调理
598,补虚劳
599,补虚劳羸瘦
600,补虚填精
601,补虚强身
602,补虚损
603,补虚益损
604,补虚益气
605,补血
606,补血养血
607,补血养颜
608,补血填精
609,补血扶正。
610,补血敛阴
611,补血活血
612,补血滋阴
613,补血通乳
614,补钙
615,补阳
616,补阳益寿保健酒
617,补阴生津
618,解乏
619,解压降糖
620,解暑
621,解毒
622,解毒消肿
623,解毒的作用
624,解毒（草菇）
625,解渴
626,解热除烦
627,解表
628,解除疲劳
629,调中固肠
630,调养肤质
631,调味
632,调味品
633,调理气血
634,调理肠胃
635,调理食欲
636,调经
637,调经养血
638,调经强肾
639,调经止痛
640,调经活血
641,调节内脏活动
642,调节生理机能
643,调血
644,贫血
645,贫血调理
646,身体虚弱以及病后需要调养
647,软化心脑血管
648,软坚祛瘀
649,退热散结
650,退疮肿
651,退黄
652,适于中气虚弱
653,适用于产后体虚
654,适用于产后妇女贫血
655,适用于体倦畏寒乳汁不多
656,适用于体倦畏寒乳汁不多等病症
657,透疹
658,透疹止泻
659,逐寒湿
660,通乳调理
661,通经之效
662,通经活经
663,通经活络
664,通络宁神
665,醒神
666,金黄软香
667,钙质丰富
668,镇静止痛
669,防止便秘
670,防止动脉硬化
671,防治潮热盗汗
672,防癌
673,防癌抗癌
674,阳明温病
675,降低血糖
676,降低血脂
677,降压
678,降脂降压
679,降血压
680,降血糖
681,降血脂
682,降逆止呕
683,降酶
684,除水肿
685,除湿消肿
686,除烦
687,除痰
688,除痰止咳
689,青少年食谱
690,预防癌症
691,预防神经衰弱
692,预防筋骨肌肉强痛
693,预防老年痴呆
694,风味
695,食欲缺乏
696,食疗
697,馈赠贵宾
698,高级天然滋补品
699,黄疸
