id,dish_name,ingredient_count,reason,ingredient_text
617,【黑暗料理研究会】南瓜浓汤/糊,6,没有可确定关联的基础原生食材,一圈南瓜，一杯牛奶，一勺奶油，一筷子炼乳，几滴蜂蜜，一把意大利面
619,香煎（蒸）鱼（多此一举）,4,没有可确定关联的基础原生食材,一包比目鱼扒（䲝鱼类的 鳕鱼、石斑鱼块、非洲鲫鱼、鲈鱼、桂花都适用），切丝适量菜码（胡萝卜、香菇、芹菜、木耳、青红辣椒 自选三种或以上），适量香草海盐（没有就普通盐加香料），适量蚝油 盐 糖 生抽 生粉（勾芡水）
636,生酮仿能量棒,10,没有可确定关联的基础原生食材,内部主体：，20克乳清蛋白粉80%，20克中链甘油三酯MCT粉，20克酸奶粉，6克椰浆粉，5克赤藓糖醇，5克抗性精糊，20克可可脂/椰子油，白巧克力涂层：，50克可可脂，25克酸奶粉，10克赤藓糖醇，黑巧克力涂层：，50可可脂，25可可液块，5克可可粉，12克淡奶油，15克赤藓糖醇，工具：，压缩成型模具
637,桑葚冻芝士蛋糕,9,没有可确定关联的基础原生食材,180毫升酸奶，250G奶酪芝士，65G砂糖，3片（15G）吉利丁片，100毫升淡奶油，50毫升纯牛奶，50毫升桑葚汁，100G玛丽饼干，80G黄油
638,土豆烧茄子,0,没有可确定关联的基础原生食材,豆瓣酱：适量茄子：1个，蚝油：适量土豆：1个，糖：适量盐：适量，生抽：适量蒜、葱：适量
641,低脂低卡❗️减脂餐【肉末豆腐蛋羹】好吃到哭,1,没有可确定关联的基础原生食材,见详细做法见详细做法
646,八宝粥,6,没有可确定关联的基础原生食材,用量就看几个人吃咯小红豆，玉米片薏米，枸杞莲子，桂圆红枣，黑米大红豆，红糖或者白糖
649,快手宵夜：豆豉鲮鱼炒意大利面,5,没有可确定关联的基础原生食材,看包装建议份量意面（什么形状都行），少许盐，少许油，吃多少放多少豆豉鲮鱼罐头，1片卡夫芝士片
650,咖啡曲奇（非烤箱）,4,没有可确定关联的基础原生食材,250克饼干，250克牛油，3汤匙炼奶，2汤匙即溶咖啡粉
654,砂锅冬瓜排骨,2,没有可确定关联的基础原生食材,"2500克排骨，根据食材酌量放入见下图克葱,姜,花椒,大料,香叶，桂皮,草果,辣椒"
667,肥牛金针菇卷,1,没有可确定关联的基础原生食材,克黑胡椒粉 随意放点
671,棒棒鸡和麻辣鸡,1,没有可确定关联的基础原生食材,见正文各食材
676,家常糖饼,8,没有可确定关联的基础原生食材,330克面粉，10克白糖，2克盐，200克温水，油酥，40克油，50克面，糖馅，100克白糖，80克面
677,蜂蜜柚子茶,5,没有可确定关联的基础原生食材,2个南非西柚，适量冰糖，一碗清水，两茶匙食盐，一汤勺蜂蜜
684,熔岩乳酪吐司 面粉版,7,没有可确定关联的基础原生食材,4-5片吐司片，15克黄油，15克低筋面粉，150克牛奶，20克糖，2片奶酪片，少许杏仁片
685,清理冰箱之黑暗料理,1,没有可确定关联的基础原生食材,不想让它继续待在冰箱里的各种食物
691,酸奶雪糕,2,没有可确定关联的基础原生食材,两盒安慕希酸奶，适量各种水果
692,佛卡夏牛腩三明治,0,没有可确定关联的基础原生食材,"6个鸡蛋 eggs，80g生菜 Lerruce，1350g面粉 All-purpose flour，TT(适量）黑胡椒 Black pepper，25ml盐 Kosher salt，37.5ml干酵母 Active dry yeast，1000g温水 Warm water，30g+37.5g糖 Granulated sugar，200ml+37.5ml橄榄油 Olive oil，30g迷迭香 Fresh rosemary,crushed，3个大番茄（西红柿）Tomatoes，2根黄瓜 Cucumbers，1颗大蒜 Garlic，50g黄油 Anchor butter，100g罗勒叶 Basil leaves，TT（适量）圣女果 Cherry tomatoes，TT（适量）焦糖味瓜子 Caramel sunflower seeds，TT（适量）奶油 Cream，TT（适量）汉斯蒜香番茄味意大利面酱Spaghetti sauce with garlic and tomato，2个洋葱Onions，1块牛腩Flank"
705,淡奶油曲奇,6,没有可确定关联的基础原生食材,50g淡奶油，80g细砂糖，200g低筋面粉，40g杏仁粉，2g盐，160g黄油
710,蔓越莓曲奇,7,没有可确定关联的基础原生食材,250克黄油，270克低筋面粉，100克糖粉，35克淡奶油，3滴香草精，2克盐，50克蔓越莓干
713,5分钟自制低脂沙拉酱（无蛋版）,7,没有可确定关联的基础原生食材,130克玉米油，50克糖，150克牛奶，40克奶粉，10克炼乳，50克柠檬汁，30克奶油奶酪
717,玉米浓汤,6,没有可确定关联的基础原生食材,¼根玉米，10～15克黄油，2汤匙面粉，100ml牛奶，100ml开水，适量火腿
718,毛盏是炖出来最好燕窝,4,没有可确定关联的基础原生食材,1盏三角毛燕盏，一瓶150ml牛奶，10－15克坚果适量，1－2粒冰糖
724,入口即化·嫩滑内脂豆花/豆腐脑（详细步骤）,8,没有可确定关联的基础原生食材,3～4人份豆花食材：，150克干黄豆，1300克清水，3.8克内脂粉，30克凉白开，👇煮糖，50克冰糖，100克黄片糖/红糖，2克干桂花，70克（可增减清水
733,美味核桃包,7,没有可确定关联的基础原生食材,2克盐，5克酵母，适量核桃馅，300克中粉，160克红糖水，10克猪油，3克可可粉
742,简易版豆角酱肉包,9,没有可确定关联的基础原生食材,500克面粉，5克酵母，8克糖，250克温水，以上是发面部分，以下馅料部分，适量  一定买整块的回来自己切丁五花肉，适量  我放的豆角比较多，这样不腻长豆角，适量香菇  葱  姜
744,烤汤圆,3,没有可确定关联的基础原生食材,1肉团空气炸锅，适量肉团汤圆，适量蛋塔皮
753,九阳萌盟迷你豆浆机（开苞记录）五谷豆浆，杂粮米糊,2,没有可确定关联的基础原生食材,300克左右（水位线）水，比例自己琢磨各种食材
757,快炸馒头片（咸香酥脆）,4,没有可确定关联的基础原生食材,个馒头，克油，克盐，味精
760,爷爷的生炒排骨,4,没有可确定关联的基础原生食材,2斤 猪小肋排，适量植物油，适量葱姜蒜 花椒面 料酒，适量醋 生抽 白糖
763,意大利红酒牛杆菌多味饭,8,没有可确定关联的基础原生食材,一升鸡汤，400克意大利arborio米，200克切碎牛杆菌，70克切碎意大利咸肉，200毫升意大利红酒chianti，一个切碎备用洋葱，80克帕尔玛芝士，盐，适量胡椒，一把切碎巴西莉
777,罗汉果山楂茶,2,没有可确定关联的基础原生食材,1个罗汉果，5-8片山楂干
787,红糖开花馒头,12,没有可确定关联的基础原生食材,材料一:，克  普通面粉     200，克干酵母               2，克白糖                  5，克水                130，克(可不加)奶粉              20，材料二:，克泡打粉               1，55克面粉，克红糖                    55，克猪油或玉米油    10，可不加  炒熟芝麻   少量，可不加红枣剪碎         少量，可不加核桃碎           少量
790,花儿朵朵的甜蜜时光,2,没有可确定关联的基础原生食材,戚风蛋糕，蓝风车淡奶油
792,健康无添加剂家常菜,1,没有可确定关联的基础原生食材,克盐，菜油，青椒，姜，蒜，花椒，小葱，
793,樱桃小丸子饼干【11月北鼎烤箱食谱】,5,没有可确定关联的基础原生食材,210g低筋面粉，35克全蛋液，110克黄油，50克糖粉，若干饼干模具
805,法国长棍面包,5,没有可确定关联的基础原生食材,法国粉，克盐，克酵母，克水，鲁邦种
807,＃酸奶盆栽＃,3,没有可确定关联的基础原生食材,莫斯利安酸奶，柔滑香草慕斯味奥利奥巧轻脆，薄荷叶
812,冰镇 港式奶茶,4,没有可确定关联的基础原生食材,600ml水，4包红茶包茶，200ml黑白淡奶，40g白糖
823,快手迷你小汉堡,7,没有可确定关联的基础原生食材,250克高筋粉(王后日式吐司粉)，10克奶粉，25克细砂糖，3克盐，165克(根据面粉吸水性酌情增减)一个鸡蛋加水，3克干酵母，25克黄油
825,折腾品集,1,没有可确定关联的基础原生食材,1面粉
832,黑芝麻流心布丁,6,没有可确定关联的基础原生食材,200g内酯豆腐，35g糖，120g牛奶，6g吉利丁片，40g黑芝麻酱，#黑芝麻流心，20g黑芝麻酱，20g牛奶，5g糖
841,开花馒头（面包机发面）,5,没有可确定关联的基础原生食材,500g面粉，250ml水，2小勺酵母粉，1小勺盐，2大勺红糖
848,熏肉蒸饼,11,没有可确定关联的基础原生食材,2斤带皮猪前槽肉，老卤水，八角，香叶，干辣椒，20克冰糖，两大勺盐，一碗中筋面粉，洋葱丝，适量开水，甜面酱
851,自制椰蓉,1,没有可确定关联的基础原生食材,1个老椰子
852,芝士火腿吐司,11,没有可确定关联的基础原生食材,300g金像牌高粉，120g牛奶，100奶油，40g细砂糖，3g盐，5g酵母，4片（1分2）芝士片，4片（1分2）火腿片，少量全蛋液（刷表面），少量沙拉酱（表面），少量蕃茄酱（表面）
855,12个月以上辅食紫薯奶黄包,0,没有可确定关联的基础原生食材,低筋面粉250g 熟紫薯150g 肉泥80g （40g熟肉+40g水打肉泥） 牛奶50g 玉米油/猪油5g
866,万圣节奥利奥蜘蛛,1,没有可确定关联的基础原生食材,奥利奥，黑、白巧克力
872,甬安香粥,5,没有可确定关联的基础原生食材,白粥，酱油，麻油，糖，盐
878,黑凉粉与白凉粉,6,没有可确定关联的基础原生食材,30克黑凉粉，1000ml水，分界线————，20克白凉粉，250ml（一瓶）纯牛奶，适量冰糖
897,星空燕窝—北鼎养生壶食谱,4,没有可确定关联的基础原生食材,1盏燕窝，两小块石峰糖，十几颗黑枸杞，适量纯净水，工具：，北鼎养生壶k165
899,杏仁豆腐,2,没有可确定关联的基础原生食材,杏仁粉，琼脂
900,微波小脆肠_两分钟即食餐，小脆肠成花瓣形散开，炸制改为微波做法，更受孩子的味口，更重要的是省时省力，节约上班族的时间、精力……,1,没有可确定关联的基础原生食材,小红肠'
905,玫瑰银针露,5,没有可确定关联的基础原生食材,3g白毫银针，10朵法兰西玫瑰（干），3g茉莉花（干），2朵金莲花，2勺玫瑰花露
910,做过的卡通馒头们，记录贴。,3,没有可确定关联的基础原生食材,酵母粉，克水，克面粉
926,腊肠蒸茶干(豆腐干/香干),3,没有可确定关联的基础原生食材,半根恩施土家族腊肠，2块厚茶干，3克盐
928,隔壁老王都馋哭的卤肉饭,0,没有可确定关联的基础原生食材,克五花肉、洋葱、香菇、鸡蛋、葱、姜、蒜、八角、老抽、生抽
933,微波炉早餐简易披萨剩菜剩饭,4,没有可确定关联的基础原生食材,2片面包，3勺披萨番茄酱，2片芝士片，若干剩菜剩肉
935,地锅鱼,12,没有可确定关联的基础原生食材,1条（约二三斤左右）草混子（鱼），多许葱姜蒜干红辣椒，适量八角，适量香菜/蒜苗，两铲子（炒菜铲子）酱油，两铲子（炒菜铲子）醋，两小勺（一大勺）白糖，三～四两面粉，一小勺老抽，两大勺生抽，两大勺料酒，适量盐/鸡精
943,免揉 百分百全麦无油无糖 铸铁锅 欧包,4,没有可确定关联的基础原生食材,250g王后全麦面粉（细粒），185克水，2/4克干酵母/鲜酵母，3.5克（一般我只放2g左右微咸）盐
945,🥛黑糖珍珠奶茶の珍珠,3,没有可确定关联的基础原生食材,30g红糖，1小碗水，90g木薯粉
954,油渣,3,没有可确定关联的基础原生食材,大肉沫，盐  味精 胡椒粉，鸡精   大豆酱油
955,超简单三色彩虹布丁果冻,3,没有可确定关联的基础原生食材,一瓶芬达苹果味，一瓶醒目西瓜味，一盒牛奶或椰汁
969,紫心花,6,没有可确定关联的基础原生食材,鲜奶，玫瑰花嘴，叶子嘴，水果，喷粉，巧克力插排
983,面包机坚果法式面包,5,没有可确定关联的基础原生食材,400g高筋面粉，245ml水，8g盐，3g糖，1g安琪金装酵母，几颗（我也没数随便抓的夏威夷果，几颗（也是随便抓的核桃，一小把（更随便芝麻
984,葱饼,1,没有可确定关联的基础原生食材,面粉，大把葱，水
993,不用粉碎机和称量的最懒快手绿豆糕之二（脱皮绿豆糕）,3,没有可确定关联的基础原生食材,500克脱皮绿豆，35克黄油，90克赤藓糖醇或白糖，蔓越莓、可可粉、抹茶、蓝莓酱适量
996,酱油拌面,3,没有可确定关联的基础原生食材,颗青菜，份面条，勺酱油
1001,冰皮绿豆糕,4,没有可确定关联的基础原生食材,200克脱皮绿豆，40克麦芽糖，100克细砂糖，80克黄油
1016,空气炸锅烤红薯🍠,1,没有可确定关联的基础原生食材,看胃口随便几个，不要太大蜜薯
1018,饺子皮版煎饼,1,没有可确定关联的基础原生食材,20张饺子皮，用量：适量食材：南瓜、紫薯、山、纯奶或奶粉、糖，适量
1023,低油牙签肉（烤箱版）,1,没有可确定关联的基础原生食材,500克牛眼肉，配料：洋葱，柠檬，盐，五香粉，料酒，糖，食用油，孜然，辣椒粉
1026,鸡蛋灌饼,3,没有可确定关联的基础原生食材,小香葱鸡蛋，食用油面粉，盐温水
1031,《想见你》台南古早味小吃白糖粿,6,没有可确定关联的基础原生食材,115克（3杯）糯米粉，25克（半杯）细砂糖，90克（1.5杯）温水，蘸料粉，100克花生粉，50克细砂糖，适量熟芝麻
1041,手揉面包详细贴:红豆面包,10,没有可确定关联的基础原生食材,170克高筋面粉，32克细砂糖，2克盐，9克奶粉，20克全蛋液，2克耐高糖干酵母，80克水，20克黄油，120克红豆馅，此方是6个面包的量
