ingredient_id,ingredient_name,tcm_not_user,extracted_groups_json,status
89,腰果,"腰果含油脂丰富,故不适合胆功能严重不良者、肠炎腹泻患者和痰多患者食用；腰果含的脂肪酸属于良性脂肪酸的一种,虽不易使人发胖,但仍不宜食用过多,尤肥胖的人更要慎用；腰果含有多种过敏原，对于过敏体质的人来说，可能会造成一定的过敏反应。","[""胆囊疾病患者"",""胃肠炎患者"",""腹泻便溏者"",""湿热痰湿体质者"",""肥胖人群""]",structured
94,绿豆,绿豆性寒凉，素体阳虚、脾胃虚寒、泄泻者慎食。,"[""脾胃虚寒者"",""腹泻便溏者"",""阳虚体质者""]",structured
103,口蘑,一般人都适合食用。,[],no_restriction_statement
108,冬瓜,冬瓜性寒凉，脾胃虚弱、肾脏虚寒、久病滑泄、阳虚肢冷者忌食。,"[""阳虚体质者""]",structured
110,茄子,1.脾胃虚寒、哮喘者不宜多吃；2.体弱、便溏者不宜多食；手术前吃茄子，麻醉剂可能无法被正常地分解，会拖延病人苏醒时间，影响病人康复速度。,"[""脾胃虚寒者"",""哮喘或支气管疾病患者"",""腹泻便溏者"",""体质虚弱者""]",structured
117,薄荷,孕妇勿过量食用；阴虚发热、血虚眩晕者慎服；表虚自汗者禁服。,"[""孕妇"",""阴虚火旺者""]",structured
118,平菇,一般人群均可食用。,[],no_restriction_statement
121,金枪鱼,一般人群均可食用。,[],no_restriction_statement
124,葡萄,糖尿病患者，便秘者不宜多吃；脾胃虚寒者不宜多食，多食则令人泄泻。,"[""糖尿病患者"",""便秘者"",""脾胃虚寒者"",""腹泻便溏者""]",structured
127,小米,气滞者忌用；素体虚寒，小便清长者少食。,"[""气滞体质者"",""虚寒体质者""]",structured
128,薏米,据前人经验，妇女怀孕早期忌食；另外汗少、便秘者不宜食用。,"[""孕妇"",""便秘者""]",structured
129,毛豆,1.幼儿、尿毒症患者忌食。2.对黄豆有过敏体质者不宜多食。,"[""肾病患者"",""过敏体质者""]",structured
135,樱桃,有溃疡症状者、上火者、慎食；糖尿病者忌食。,"[""糖尿病患者""]",structured
137,小白菜,脾胃虚寒、大便溏薄者，不宜多食小白菜。,"[""脾胃虚寒者"",""腹泻便溏者""]",structured
140,羊排,发热、牙痛、口舌生疮、咳吐黄痰等上火症状者不宜食用；肝病、高血压、急性肠炎或其他感染性疾病及发热期间不宜食用。,"[""口腔疾病患者"",""高血压患者"",""肝病患者"",""胃肠炎患者"",""感冒发热者""]",structured
142,秋葵,秋葵属于性味偏于寒凉的蔬菜，胃肠虚寒、功能不佳、经常腹泻的人不可多食。,"[""腹泻便溏者""]",structured
153,黄花菜,1.患有皮肤瘙痒症者忌食。2.黄花菜含粗纤维较多，肠胃病患者慎食。,"[""皮肤病患者""]",structured
160,西瓜,糖尿病患者少食，建议两餐中食用；脾胃虚寒，湿盛便糖者不宜食用。,"[""糖尿病患者"",""脾胃虚寒者"",""湿热痰湿体质者""]",structured
170,椰子,凡大便清泄者忌食椰肉；体内热盛的人不宜常吃椰子；同时病毒性肝炎、脂肪肝、支气管哮喘、高血压、脑血管、胰腺炎、糖尿病等患者也应忌食。,"[""阴虚火旺者"",""糖尿病患者"",""高血压患者"",""肝病患者"",""哮喘或支气管疾病患者""]",structured
189,海参,患急性肠炎、菌痢、感冒、咳痰、气喘及大便溏薄、出血兼有瘀滞及湿邪阻滞的患者忌食。,"[""胃肠炎患者"",""腹泻便溏者"",""感冒发热者"",""湿热痰湿体质者"",""哮喘或支气管疾病患者"",""咳嗽患者""]",structured
198,鲍鱼,痛风患者及尿酸高者不宜吃鲍肉，只宜少量喝汤；虽然鲍鱼人人爱吃，但感冒发烧或阴虚喉痛的人不宜食用；素有顽癣痼疾之人忌食。,"[""痛风或高尿酸人群"",""感冒发热者"",""阴虚火旺者"",""皮肤病患者""]",structured
204,猪蹄,有胃肠消化功能减弱的老年人每次不可食之过多；患有肝炎、胆囊炎、胆结石、动脉硬化、高血压病的患者食应以少食或不食为好；凡外感发热和一切热证、实证期间不宜多食；胃肠消化功能减弱的儿童一次不能过量食用。,"[""消化功能不良者"",""高血压患者"",""动脉硬化患者"",""肝病患者"",""胆囊疾病患者"",""感冒发热者"",""阴虚火旺者""]",structured
210,杨梅,溃疡病患者慎食，牙疼、胃酸过多、上火的人不要多吃，糖尿病患者忌食。,"[""糖尿病患者"",""胃溃疡患者"",""胃酸过多人群"",""口腔疾病患者""]",structured
213,橄榄,一般人群均可食用。,[],no_restriction_statement
214,橘子,风寒咳嗽、痰饮咳嗽者不宜食用。,"[""咳嗽患者""]",structured
221,蒜苔,1.消化能不佳的人宜少吃；2.过量食用会影响视力；有肝病的人过量食用，可造成肝功能障碍。,"[""消化功能不良者""]",structured
222,韭黄,一般人群均能食用。,[],no_restriction_statement
223,柚子,高血压患者、气虚体弱者不宜多食，脾虚便溏者和糖尿病患者忌食。,"[""糖尿病患者"",""高血压患者"",""腹泻便溏者"",""体质虚弱者""]",structured
233,荔枝,阴虚火旺、有上火症状的人不要吃，以免加重上火症状，阴虚所致的咽喉干疼、牙龈肿痛、鼻出血等症者忌用。,"[""阴虚火旺者"",""口腔疾病患者""]",structured
240,哈密瓜,患有脚气病、黄疸、腹胀、便溏、寒性咳喘以及产后、病后的人不宜多食；糖尿病人慎食。,"[""产妇"",""腹泻便溏者"",""哮喘或支气管疾病患者"",""体质虚弱者"",""糖尿病患者""]",structured
242,鸭肉,对于素体虚寒，受凉引起的不思饮食，胃部冷痛．腹泻清稀，腰痛及寒性痛经以及肥胖、动脉硬化、慢性肠炎应少食；感冒患者不宜食用。,"[""经期女性"",""动脉硬化患者"",""胃肠炎患者"",""腹泻便溏者"",""虚寒体质者"",""肥胖人群"",""感冒发热者""]",structured
246,花菇,一般人群均可食用。,[],no_restriction_statement
256,芥菜,芥菜类蔬菜常被制成腌制品食用，因腌制后含有大量的盐分，故高血压、血管硬化的病人应注意少食以限制盐的摄入。另外内热偏盛及内患有热性咳嗽患者、疮疡、痔疮、便血及眼疾的人不宜食雪里蕻。,"[""高血压患者"",""动脉硬化患者"",""阴虚火旺者"",""皮肤病患者"",""咳嗽患者"",""痔疮患者"",""眼疾患者""]",structured
266,荠菜,荠菜可宽肠通便，故便溏者慎食。,"[""腹泻便溏者""]",structured
291,小龙虾,"宿疾者、正值上火之时不宜食虾；患过敏性鼻炎、支气管炎、反复发作性过敏性皮炎的老年人不宜吃虾。
虾为动风发物，患有皮肤疥癣者忌食。","[""过敏体质者"",""哮喘或支气管疾病患者"",""皮肤病患者""]",structured
292,螃蟹,平素脾胃虚寒、大便溏薄、腹痛隐隐、风寒感冒未愈、宿患风疾、顽固性皮肤瘙痒疾患之人忌食，月经过多、痛经、怀孕妇女忌食螃蟹，尤忌食蟹爪。,"[""孕妇"",""经期女性"",""脾胃虚寒者"",""腹泻便溏者"",""感冒发热者"",""皮肤病患者""]",structured
294,草菇,一般人群均可食用。,[],no_restriction_statement
297,香米,糖尿病患者不宜多食。,"[""糖尿病患者""]",structured
309,墨鱼,脾胃虚寒的人应少吃；高血脂、高胆固醇血症、动脉硬化等心血管病及肝病患者应慎食；患有湿疹、荨麻疹、痛风、肾脏病、糖尿病、易过敏者等疾病的人忌食；乌贼鱼肉属动风发物，故有病之人酌情忌食。,"[""脾胃虚寒者"",""高血脂患者"",""动脉硬化患者"",""肝病患者"",""糖尿病患者"",""肾病患者"",""痛风或高尿酸人群"",""过敏体质者"",""皮肤病患者""]",structured
317,银鱼,一般人均可食用。,[],no_restriction_statement
318,羊肚菌,一般人群都适用。,[],no_restriction_statement
321,猪肚,无特殊禁忌人群。,[],no_restriction_statement
323,罗非鱼,一般人都可食用。,[],no_restriction_statement
335,水萝卜,1.阴盛偏寒体质者、脾胃虚寒者等不宜多食；2.胃及十二指肠溃疡、慢性胃炎、单纯甲状腺肿、先兆流产、子宫脱垂等患者忌食萝卜；3.萝卜性偏寒凉而利肠，脾虚泄泻者慎食或少食。,"[""脾胃虚寒者"",""孕妇"",""胃溃疡患者"",""胃肠炎患者"",""甲状腺疾病患者"",""腹泻便溏者""]",structured
342,蛏子,脾胃虚寒、腹泻者应少食。,"[""脾胃虚寒者"",""腹泻便溏者""]",structured
343,刀豆,一般人群均可食用,[],no_restriction_statement
348,青鱼,脾胃蕴热者不宜食用；瘙痒性皮肤病、内热、荨麻疹、癣病者应忌食。,"[""阴虚火旺者"",""皮肤病患者""]",structured
350,松子仁,便溏、精滑、咳嗽痰多、腹泻者忌用；因含油脂丰富，所以胆功能严重不良者应慎食。,"[""腹泻便溏者"",""湿热痰湿体质者"",""咳嗽患者"",""胆囊疾病患者""]",structured
354,牛肚,一般人都可食用。,[],no_restriction_statement
360,荞麦,脾胃虚寒、消化功能不佳、经常腹泻的人、体质敏感之人不宜食用。,"[""脾胃虚寒者"",""腹泻便溏者"",""消化功能不良者""]",structured
361,节瓜,一般人群均可食用。,[],no_restriction_statement
365,雪花梨,慢性肠炎、胃寒病、糖尿病患者忌食生梨。,"[""糖尿病患者"",""胃肠炎患者"",""脾胃虚寒者""]",structured
369,青虾,宿疾者、正值上火之时不宜食虾；患过敏性鼻炎、支气管炎、反复发作性过敏性皮炎的老年人不宜吃虾，虾为动风发物，患有皮肤疥癣者忌食。,"[""过敏体质者"",""皮肤病患者"",""哮喘或支气管疾病患者""]",structured
370,鲮鱼,阴虚喘嗽忌之。,"[""阴虚火旺者""]",structured
373,眉豆,眉豆多食则性滞，故气滞便结者应慎食眉豆。,"[""气滞体质者""]",structured
376,槐花,脾胃虚寒及阴虚发热而无实火者慎服。,"[""脾胃虚寒者"",""阴虚火旺者""]",structured
377,马兰头,孕妇慎服。,"[""孕妇""]",structured
378,鱼腥草,虚寒性体质及疔疮肿疡属阴寒，无红肿热痛者，不宜服食。,"[""虚寒体质者""]",structured
392,武昌鱼,凡患有慢性痢疾之人忌食。,"[""腹泻便溏者""]",structured
395,牡蛎,虚而有寒者忌之。,"[""虚寒体质者""]",structured
408,田螺,凡屑脾胃虚寒，便溏腹泻之人忌食；因螺性大寒，故风寒感冒期间忌食，女子行经期间及妇人产后忌食，素有胃寒病者忌食。,"[""脾胃虚寒者"",""腹泻便溏者"",""经期女性"",""产妇"",""感冒发热者""]",structured
409,石斑鱼,一般人均可食用。,[],no_restriction_statement
419,杨桃,脾胃虚寒、纳差泄泻者少食。,"[""脾胃虚寒者"",""腹泻便溏者""]",structured
421,兔肉,孕妇及经期女性、有明显阳虚症状的女子、脾胃虚寒者不宜食用。,"[""孕妇"",""经期女性"",""脾胃虚寒者"",""阳虚体质者""]",structured
427,蚬子,蚬肉性大凉，平素脾胃虚寒、肾虚滑精者忌食；也不适合寒性气管炎者食用；风寒感冒患者忌食；女子月经来潮期间和妇人产后恢复期忌食。,"[""脾胃虚寒者"",""感冒发热者"",""经期女性"",""产妇""]",structured
429,青蟹,平素脾胃虚寒，大便溏薄，腹痛隐隐之人忌食；风寒感冒未愈者，或宿患风疾，包括顽固性皮肤瘙痒疾患之人忌食；月经过多、痛经、怀孕妇女忌食螃蟹，尤忌食蟹爪。,"[""脾胃虚寒者"",""腹泻便溏者"",""感冒发热者"",""皮肤病患者"",""孕妇"",""经期女性""]",structured
436,佛手瓜,佛手瓜属于温性食物，所以凡属阴虚体热和体质虚弱的人应少食。,"[""阴虚火旺者"",""体质虚弱者""]",structured
440,豌豆苗,一般人群均可食用。,[],no_restriction_statement
450,小麦,一般人群均可食用。,[],no_restriction_statement
466,海蟹,平素脾胃虚寒，大便溏薄，腹痛隐隐之人忌食；风寒感冒未愈者，或宿患风疾，包括顽固性皮肤瘙痒疾患之人忌食；月经过多、痛经、怀孕妇女忌食螃蟹，尤忌食蟹爪。,"[""脾胃虚寒者"",""腹泻便溏者"",""感冒发热者"",""皮肤病患者"",""孕妇"",""经期女性""]",structured
469,大麦,一般人群均可食用。,[],no_restriction_statement
471,高粱米,糖尿病患者应禁食高粱；大便燥结以及便秘者应少食或不食高粱。,"[""糖尿病患者"",""便秘者""]",structured
476,荆芥,表虚自汗、阴虚火旺者禁服。,[],no_restriction_statement
488,猪舌,一般人都可食用。,[],no_restriction_statement
493,火鸡腿,患有感冒发热、内火偏旺、痰湿偏重、热毒疖肿之人、痔疮和疥疮者忌食。,"[""感冒发热者"",""湿热痰湿体质者"",""皮肤病患者"",""痔疮患者""]",structured
494,鸭肫,一般人群均可食用。,[],no_restriction_statement
501,草虾,"宿疾者、正值上火之时不宜食虾；患过敏性鼻炎、支气管炎、反复发作性过敏性皮炎的老年人不宜吃虾；
虾为动风发物，患有皮肤疥癣者忌食。","[""过敏体质者"",""哮喘或支气管疾病患者"",""皮肤病患者""]",structured
503,鸡枞,一般人群均可食用。,[],no_restriction_statement
505,葵花子仁,一般人群均可食用,[],no_restriction_statement
507,牛皮菜,一般人群均可食用。,[],no_restriction_statement
512,菜瓜,1.菜瓜性寒，平素脾胃气虚、腹泻便溏、胃寒疼痛之人忌食生冷菜瓜；2.女子月经来潮期间和有寒性痛经者忌食生菜瓜。,"[""脾胃虚寒者"",""腹泻便溏者"",""经期女性""]",structured
515,野葱,1.患有胃肠道疾病特别是溃疡病的人不宜多食；2.另外葱对汗腺刺激作用较强，有腋臭的人在夏季应慎食；表虚、多汗者也应忌食；3.过多食用葱还会损伤视力。,"[""胃溃疡患者""]",structured
522,甜瓜,出血及体虚者，脾胃虚寒、腹胀便溏者忌食。,"[""脾胃虚寒者"",""腹泻便溏者""]",structured
532,鳜鱼,患有哮喘、咯血的病人不宜食用；寒湿盛者不宜食用。,"[""哮喘或支气管疾病患者"",""虚寒体质者"",""湿热痰湿体质者""]",structured
537,大豆,"大豆在消化吸收过程中会产生过多的气体造成胀肚，故消化功能不良、有慢性消化道疾病的人应尽量少食；
患有严重肝病、肾病、痛风、消化性溃疡、低碘者应禁食；患疮痘期间不宜吃黄豆及其制品。","[""胃肠炎患者"",""消化功能不良者"",""肝病患者"",""肾病患者"",""痛风或高尿酸人群"",""胃溃疡患者"",""皮肤病患者""]",structured
545,木耳菜,孕妇及脾胃虚寒者慎食。,"[""孕妇"",""脾胃虚寒者""]",structured
548,瓠瓜,一般人群均可食用。,[],no_restriction_statement
555,苤蓝,一般人群均可食用。,[],no_restriction_statement
557,莼菜,1.莼菜性寒而滑，多食易伤脾胃，发冷气，损毛皮，故脾胃虚寒的人不宜多食；2.妇女月经期及孕妇产后应少食。,"[""脾胃虚寒者"",""孕妇"",""经期女性"",""产妇""]",structured
570,鸡血,高胆固醇血症、肝病、高血压和冠心病患者应少食。,"[""高血压患者"",""高血脂患者"",""冠心病患者"",""肝病患者""]",structured
571,凤尾鱼,凡湿热内盛，或患有疥疮瘙痒之人忌食；病人忌食。,"[""湿热痰湿体质者"",""皮肤病患者""]",structured
576,海蚌,许多贝类是发物，有宿疾者应慎食；贝类性多寒凉，故脾胃虚寒者不宜多吃。,"[""脾胃虚寒者""]",structured
578,海鳗,患有慢性疾患和水产品过敏史的人、病后脾肾虚弱、痰多泄泻者忌服。,"[""腹泻便溏者"",""湿热痰湿体质者"",""过敏体质者"",""体质虚弱者""]",structured
584,鲻鱼,一般人群均可食用。,[],no_restriction_statement
585,石花菜,?1.脾胃虚寒，肾阳虚者慎食；2.孕妇不宜多食。,"[""脾胃虚寒者"",""阳虚体质者"",""孕妇""]",structured
