id,name,ingredient_type,core_ingredient_id,category,subcategory,is_core_raw,is_edible,review_status,usage_count,reason,edible,water,energy_kcal,energy_kj,protein,fat,cho,dietary_fiber,cholesterol,ash,vitamin_a,carotene,retinol,thiamin,riboflavin,niacin,vitamin_c,vitamin_e,ca,p,k,na,mg,fe,zn,se,cu,mn,nutrition_source,nutrition_match,quality,category_source,tcm_user,tcm_not_user,effects_json,suitable_groups_json,unsuitable_groups_json,aliases_json,parent_core_ids_json,child_core_ids_json
11,青椒,core_raw,11,蔬菜,瓜果,1,1,verified,1054,核心原生食材,91,93.4,22,91,0.8,0.3,5.2,—,0,0.3,8,98,0,0.02,0.02,0.62,59.0,0.38,11,20,154,7.0,15,0.3,0.21,0.02,0.05,0.05,辣椒（青、尖）,alias,core,v2_strict_rule,一般人群均可食用。,1.眼疾患者、食管炎、胃肠炎、胃溃疡、痔疮患者应少吃或忌食；2.同时有火热病症或阴虚火旺，高血压，肺结核病的人慎食。,"[""助消化"",""开胃"",""营养丰富"",""补肾养血"",""防止便秘""]","[""产妇"",""儿童"",""妇女"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老幼"",""脾胃虚弱者尤为合适"",""青少年""]","[""阴虚火旺者"",""高血压患者"",""胃溃疡患者"",""胃肠炎患者"",""痔疮患者"",""眼疾患者""]","[""/青椒"",""一点青椒丝"",""些许青椒"",""几个尖椒"",""几根尖椒"",""少量青椒"",""尖椒"",""柿子椒"",""灯笼椒"",""碗尖椒"",""绿辣椒"",""青椒"",""青椒丝"",""青椒末"",""－青椒""]",[],[]
12,土豆,core_raw,12,薯芋,薯类,1,1,verified,759,核心原生食材,94,78.6,81,343,2.6,0.2,17.8,1.1,0,0.8,1,6,0,0.10,0.02,1.10,14.0,0.34,7,46,347,5.9,24,0.4,0.3,0.47,0.09,0.1,马铃薯［土豆、洋芋］,alias,core,v2_strict_rule,,,"[""健脾开胃调理"",""营养不良调理""]","[""产妇"",""儿童"",""妇女"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老幼"",""脾胃虚弱者尤为合适"",""青少年""]",[],"[""/土豆"",""土豆"",""土豆丝"",""土豆片"",""数个小土豆"",""洋芋"",""马铃薯""]",[],[]
13,玉米,core_raw,13,谷物/坚果,玉米,1,1,verified,88,核心原生食材,46,71.3,112,469,4.0,1.2,22.8,2.9,0,0.7,—,—,0,0.16,0.11,1.80,16,0.46,—,117,238,1.1,32,1.1,0.90,1.63,0.09,0.22,玉米（鲜）,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老少兼宜"",""青少年""]",[],"[""/玉米"",""玉米"",""碗玉米""]",[],[]
14,番茄,core_raw,14,蔬菜,瓜果,1,1,verified,649,核心原生食材,97,95.2,15,62,0.9,0.2,3.3,—,0,0.4,31,375,0,0.02,0.01,0.49,14.0,0.42,4,24,179,9.7,12,0.2,0.12,Tr,0.04,0.06,番茄［西红柿］,alias,core,v2_strict_rule,,,"[""健脾宽中"",""益气养血""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""老人"",""青少年""]",[],"[""/西红柿"",""几颗小番茄"",""番茄"",""西红柿"",""－番茄""]",[],[]
15,鸡胸肉,core_raw,15,禽肉,鸡,1,1,verified,233,核心原生食材,100,71.7,118,499,24.6,1.9,0.6,0.0,65,1.2,3,0,3,0.07,0.06,11.96,Tr,0.41,1,170,333,44.8,28,1.0,0.26,11.75,0.01,0.01,鸡胸脯肉,alias,core,v2_strict_rule,,,"[""暖胃"",""营养丰富""]","[""中老年"",""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""青少年""]",[],"[""/鸡胸肉"",""少量鸡胸肉"",""整块鸡胸肉"",""鸡胸"",""鸡胸肉"",""鸡脯肉""]","[""24""]",[]
16,花生,core_raw,16,谷物/坚果,坚果种子,1,1,verified,95,核心原生食材,100,6.9,574,2400,24.8,44.3,21.7,5.5,0,2.3,3,30,0,0.72,0.13,17.90,2.0,18.09,39,324,587,3.6,178,2.1,2.50,3.94,0.95,1.25,花生仁（生）,alias,core,v2_strict_rule,一般人均可食用适宜营养不良，食欲不振，咳嗽痰啃之人食用；适宜脚气病患者食用；适宜妇女产后乳汁缺少者食用；适宜高血压病，高脂血症，冠心病，动脉硬化，以及各种出血性疾病之人食用；适宜儿童、青少年及老年人食用，能提高儿童记忆力，有助于老人滋补保健。,花生含油脂多，消化时需要多耗胆汁，故胆病患者不宜食用；花生能增进血凝，促进血栓形成，故患血黏度高或有血栓的人不宜食用；体寒湿滞及肠滑便泄者不宜服食。,"[""对美容"",""抗老化"",""抗老化等都有助益""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老少兼宜"",""青少年""]","[""胆囊疾病患者"",""腹泻便溏者"",""高血脂患者""]","[""一小碗花生米"",""一捧花生米"",""些许花生"",""碗花生米"",""花生"",""花生碎"",""花生米""]",[],[]
17,辣椒,core_raw,17,蔬菜,瓜果,1,1,verified,257,核心原生食材,80,88.8,38,159,1.3,0.4,8.9,3.2,0,0.6,116,1390,0,0.03,0.06,0.80,144.0,0.44,37,95,222,2.6,16,1.4,0.30,1.90,0.11,0.18,辣椒（红，小）,alias,core,v2_strict_rule,,,"[""养生"",""去湿"",""开胃"",""消暑"",""清洁肠胃"",""清热润燥"",""滋阴"",""生津止渴"",""瘦身"",""美容"",""补阳"",""解乏""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""老人"",""老少兼宜""]",[],"[""/辣椒"",""几个辣椒"",""少量辣椒"",""辣椒"",""辣椒块"",""辣椒末"",""辣椒段"",""辣椒碎"",""鲜辣椒""]",[],[]
18,小米椒,core_raw,18,蔬菜,瓜果,1,1,verified,311,核心原生食材,89,76.4,62,254,4.1,0.4,17.7,11.8,0,1.4,—,—,0,0.16,0.16,2.51,86.0,8.11,29,115,18,11.5,59,0.6,0.33,0.96,0.20,0.30,辣椒（小红尖辣椒）,alias,core,v2_strict_rule,,,"[""开胃"",""月经不调及健脾开胃调理"",""营养丰富"",""补肾养血"",""贫血""]","[""产妇"",""儿童"",""孕妇"",""小孩"",""老人"",""青少年""]",[],"[""几根小米椒"",""少量小米椒"",""米椒"",""鲜小米椒""]",[],[]
19,黄瓜,core_raw,19,蔬菜,瓜果,1,1,verified,293,核心原生食材,92,95.8,16,65,0.8,0.2,2.9,0.5,0,0.3,8,90,0,0.02,0.03,0.20,9.0,0.49,24,24,102,4.9,15,0.5,0.18,0.38,0.05,0.06,黄瓜（鲜）［胡瓜］,alias,core,v2_strict_rule,一般人群均可食用。适宜热病患者、肥胖、高血压、高血脂、水肿、癌症、嗜酒者多食，并且是糖尿病人首选的食品之一。,脾胃虚弱、腹痛腹泻、肺寒咳嗽者都应少吃，因黄瓜性凉，胃寒患者食之易致腹痛泄泻。,"[""养生"",""助消化"",""去湿"",""开胃"",""明目"",""消暑"",""清热解毒"",""瘦身"",""美容"",""解乏"",""防止便秘""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""青少年""]","[""腹泻便溏者"",""脾胃虚寒者"",""咳嗽患者""]","[""/根青瓜"",""/青瓜"",""/黄瓜"",""青瓜"",""黄瓜"",""黄瓜丝""]",[],[]
20,大米,core_raw,20,谷物/坚果,稻米,1,1,verified,87,核心原生食材,100,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2.00,0,0.43,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,稻米（代表值）,alias,core,v2_strict_rule,,,"[""健脑益智。"",""填精补髓"",""止咳平喘。适用于咳嗽"",""气喘。"",""补肾益气""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老少兼宜""]",[],"[""/大米"",""半大米"",""大米"",""碗大米"",""米""]",[],[]
21,红枣,core_raw,21,水果,核果,1,1,verified,105,核心原生食材,87,67.4,125,524,1.1,0.3,30.5,1.9,0,0.7,20,240,0,0.06,0.09,0.90,243.0,0.78,22,23,375,1.2,25,1.2,1.52,0.80,0.06,0.32,枣（鲜）,alias,core,v2_strict_rule,,,"[""养血补虚"",""止咳"",""润心肺"",""清热降火"",""补五脏"",""补元气"",""补脾益气"",""调养肤质""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""老少兼宜"",""青少年""]",[],"[""大枣"",""数颗红枣"",""枣"",""红枣""]",[],[]
22,柠檬,core_raw,22,水果,柑橘,1,1,verified,72,核心原生食材,66,91.0,37,156,1.1,1.2,6.2,1.3,0,0.5,Tr,Tr,0,0.05,0.02,0.60,22.0,1.14,101,22,209,1.1,37,0.8,0.65,0.50,0.14,0.05,柠檬,alias,core,v2_strict_rule,一般人群均可食用，暑热口干烦躁、消化不良者，维生素C缺乏者，胎动不安的孕妇，肾结石患者，高血压、心肌梗死患者适宜食用。,胃溃疡、胃酸分泌过多，患有龋齿者和糖尿病患者慎食。,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人""]","[""糖尿病患者"",""胃溃疡患者"",""胃酸过多人群"",""口腔疾病患者""]","[""/柠檬"",""/青柠檬"",""几只柠檬"",""几滴柠檬"",""几片柠檬"",""柠檬"",""柠檬片"",""青柠檬"",""鲜柠檬""]",[],[]
23,香菇,core_raw,23,菌菇藻类,菌菇,1,1,verified,452,核心原生食材,100,91.7,26,107,2.2,0.3,5.2,3.3,0,0.6,—,—,0,Tr,0.08,2.00,1.0,—,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25,香菇（鲜）［香蕈，冬菇］,alias,core,v2_strict_rule,,,"[""健脾宽中"",""清洁肠胃"",""清热润燥"",""生津止渴"",""益气健胃"",""益气养血"",""补虚强身""]","[""产妇"",""儿童"",""哺乳期"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人""]",[],"[""朵香菇"",""香茹"",""香菇"",""鲜香菇""]",[],[]
24,鸡肉,core_raw,24,禽肉,鸡,1,1,verified,199,核心原生食材,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common,v2_strict_rule,一般人群均可食用，老人、病人、体弱者更宜食用。,1.感冒发热、内火偏旺、痰湿偏重之人、肥胖症、患有热毒疖肿之人、高血压、血脂偏高、胆囊炎、胆石症的人忌食；2.鸡肉性温，助火，肝阳上亢及口腔糜烂、皮肤疖肿、大便秘结者不宜食用；3.动脉硬化、冠心病和高血脂患者忌饮鸡汤；感冒伴有头痛、乏力、发热的人忌食鸡肉，鸡汤。,"[""健脾固肾"",""养血益颜"",""利于人体消化吸收"",""强身健体"",""美容养颜"",""补充蛋白质"",""补益气血"",""补肾壮阳"",""解毒（草菇）""]","[""产妇"",""儿童"",""准备怀孕的男女"",""婴儿"",""孕妇"",""小孩"",""糖尿病患者"",""老人"",""青少年""]","[""胆囊疾病患者"",""感冒发热者"",""高血压患者"",""高血脂患者"",""冠心病患者"",""口腔疾病患者"",""湿热痰湿体质者"",""肥胖人群"",""便秘者"",""皮肤病患者"",""动脉硬化患者""]","[""土鸡"",""整只鸡"",""整鸡"",""鸡"",""鸡丁"",""鸡丝"",""鸡块"",""鸡肉"",""鸡肉丁"",""鸡肉末"",""鸡肉馅""]",[],"[""15"",""71"",""143"",""212"",""216"",""226"",""405"",""589""]"
25,杏仁,core_raw,25,谷物/坚果,坚果种子,1,1,verified,4,核心原生食材,100,5.6,578,2419,22.5,45.4,23.9,8.0,0,2.6,—,—,0,0.08,0.56,—,26.0,18.53,97,27,106,8.3,178,2.2,4.30,15.65,0.80,0.77,杏仁,alias,core,v2_strict_rule,,,"[""宣肺止咳"",""润肠"",""润肺"",""疏风清热""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""老人"",""老少兼宜""]",[],"[""杏仁""]",[],[]
26,芝麻,core_raw,26,谷物/坚果,坚果种子,1,1,verified,72,核心原生食材,100,5.3,536,2244,18.4,39.6,31.5,9.8,0,5.2,—,—,0,0.36,0.26,3.8,—,38.28,620,513,266,32.2,202,14.1,4.21,4.06,1.41,1.17,芝麻子（白）,alias,core,v2_strict_rule,一般人群均可食用适宜肝肾不足所致的眩晕、眼花、视物不清、腰酸腿软、耳鸣耳聋、发枯发落、头发早白之人食用；适宜妇女产后乳汁缺乏者食用；适宜身体虚弱、贫血、高脂血症、高血压病、老年哮喘、肺结核，以及荨麻疹，习惯性便秘者食用；适宜糖尿病、血小板减少性紫瘴、慢性神经炎、末梢神经麻痹、痔疮以及出血性素质者食用。,患有慢性肠炎、便溏腹泻者忌食；根据前人经验，男子阳痿、遗精者忌食。,"[""开胃"",""营养丰富"",""补肾养血""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""幼儿"",""老人""]","[""腹泻便溏者"",""胃肠炎患者""]","[""一小撮芝麻"",""一点芝麻"",""些许芝麻"",""少量芝麻"",""撮芝麻"",""芝麻""]",[],[]
27,芹菜,core_raw,27,蔬菜,根茎,1,1,verified,232,核心原生食材,100,95.4,13,55,0.4,0.2,3.1,1.0,0,0.9,2,18,0,0.01,0.02,0.22,2.0,Tr,15,13,128,166.4,16,0.2,0.14,0.07,0.03,0.04,芹菜（茎）［旱芹，药芹］,alias,core,v2_strict_rule,一般人群均可食用。特别适合高血压、动脉硬化、高血糖、缺铁性贫血、经期妇女食用。,1.芹菜性凉质滑，脾胃虚寒、大便溏薄者不宜多食，芹菜有降血压作用，故血压偏低者慎用；2.计划生育的男性应注意适量少食。,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""老人""]","[""腹泻便溏者"",""脾胃虚寒者"",""低血压人群"",""备孕男性""]","[""几根芹菜"",""数根芹菜"",""芹菜"",""芹菜段""]",[],[]
28,红薯,core_raw,28,薯芋,薯类,1,1,verified,29,核心原生食材,86,72.6,106,444,1.4,0.2,25.2,1.0,0,0.6,18,220,0,0.07,0.04,0.60,24.0,0.43,24,46,174,58.2,17,0.8,0.22,0.63,0.16,0.21,甘薯（白心）［红皮山芋］,alias,core,v2_strict_rule,,,[],"[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人""]",[],"[""地瓜"",""番薯"",""红薯""]",[],[]
29,白菜,core_raw,29,蔬菜,叶菜,1,1,verified,238,核心原生食材,89,94.4,20,82,1.6,0.2,3.4,0.9,0,0.7,7,80,0,0.05,0.04,0.65,37.5,0.36,57,33,134,68.9,12,0.8,0.46,0.57,0.06,0.19,大白菜（代表值）,alias,core,v2_strict_rule,"一般人均可食用。特别适合肺热咳嗽、便秘、肾病患者多食，同时女性也应该多吃。
",大白菜性偏寒凉，胃寒腹痛、大便溏泻及寒痢者不可多食。,"[""助消化"",""延年益寿"",""补益脾胃"",""解渴"",""解热除烦"",""防止便秘""]","[""中年人"",""产妇"",""儿童"",""妇女"",""婴儿"",""孕妇"",""小孩"",""小孩子"",""年轻人"",""老人"",""老人儿童"",""老年人"",""老幼"",""脾胃虚弱者尤为合适""]","[""腹泻便溏者"",""脾胃虚寒者""]","[""/白菜"",""一半白菜"",""几片白菜"",""把大白菜"",""白菜"",""白菜丝""]",[],[]
30,南瓜,core_raw,30,蔬菜,瓜果,1,1,verified,84,核心原生食材,85,93.5,23,97,0.7,0.1,5.3,0.8,0,0.4,74,890,0,0.03,0.04,0.40,8.0,0.36,16,24,145,0.8,8,0.4,0.14,0.46,0.03,0.08,南瓜（鲜）［倭瓜，番瓜］,alias,core,v2_strict_rule,,,"[""润肠"",""润肺""]","[""产妇"",""儿童"",""婴儿"",""孕妇"",""小孩"",""幼儿"",""老人"",""青少年""]",[],"[""南瓜""]",[],[]
